number,bin_volume,filled_bins,empty_bins,colors,a_star_tree_h2_time,a_star_tree_h2_sol,a_star_tree_h2_expanded,a_star_graph_h2_time,a_star_graph_h2_sol,a_star_graph_h2_expanded,a_star_tree_h3_time,a_star_tree_h3_sol,a_star_tree_h3_expanded,a_star_graph_h3_time,a_star_graph_h3_sol,a_star_graph_h3_expanded,random_walk_time,random_walk_sol,random_walk_restart,hill_no_sideways_h1_time,hill_no_sideways_h1_sol,hill_sideways_h1_time,hill_sideways_h1_sol,hill_no_sideways_h2_time,hill_no_sideways_h2_sol,hill_sideways_h2_time,hill_sideways_h2_sol,hill_no_sideways_h3_time,hill_no_sideways_h3_sol,hill_sideways_h3_time,hill_sideways_h3_sol,dfs_graph_time,dfs_graph_sol,dfs_graph_expanded,bfs_graph_time,bfs_graph_sol,bfs_graph_expanded
880,4,4,2,4,0.006780934,11.0,43,0.090975523,11.0,43,0.0268786191940307,11.0,151,0.0209287881851196,12,81,0.002579474,20,0,0.001316619,,0.109501696,,0.008558679,10.0,0.008191395,10.0,0.006879187,,0.013390851,12.0,0.0294744968414306,50,244,1.4328582286834717,,10000
881,4,4,2,4,0.041073465,10.0,212,1.817901372909546,10.0,746,0.013268756866455,10.0,66,0.013316226,11,66,0.002800035,13,0,0.003717303,,0.082791281,,0.002206445,,0.041288614,,0.002421975,,0.007424903,10.0,0.0383286476135253,66,344,1.487275242805481,,10000
882,4,4,2,4,0.011159610748291,8.0,68,0.066753864,8.0,40,0.026057553,8.0,172,0.0266499996185302,9,112,0.00273602,13,0,0.001216388,,0.081284165,,0.007353783,,0.008766294,11.0,0.009238362,11.0,0.008296514,11.0,0.0728892087936401,100,636,1.5438991785049438,,10000
883,4,4,2,4,0.007372379,12.0,47,0.1006741523742675,12.0,47,0.009553695,12.0,60,0.0111084699630737,13,60,0.003811717,21,0,0.00261693,,0.07473278,,0.002866364,,0.005961227,9.0,0.00614264,7.0,0.007771444,7.0,0.0552824735641479,100,528,1.4857991933822632,,10000
884,4,4,2,4,0.006973553,10.0,44,0.095484734,10.0,44,0.009476495,10.0,53,0.0093683,11,53,0.002836514,21,0,0.001312804,,0.06104002,,0.006609368,,0.010007524,11.0,0.007764268,,0.008339524,12.0,0.061072826385498,68,304,1.4907360076904297,,10000
885,4,4,2,4,0.006324506,10.0,39,0.08080411,10.0,39,0.058807945,10.0,322,0.041834712,10,185,0.002718234,12,0,0.001310849,,0.090074062,,0.011421299,12.0,0.010158825,12.0,0.006233668,,0.014468932,14.0,0.0257792472839355,52,235,1.536473035812378,,10000
886,4,4,2,4,0.006871772,11.0,46,0.1046769618988037,11.0,46,0.0122088193893432,11.0,69,0.0161351919174194,11,69,0.003664088,17,0,0.002325535,,0.068055248,,0.00232954,,0.005709958,8.0,0.00100081,,0.004901862,9.0,0.0709187984466552,100,638,1.5305689573287964,,10000
887,4,4,2,4,0.1518315315246582,11.0,812,1.7547547817230225,11.0,729,0.055376387,11.0,279,0.0242545127868652,12,101,0.003323603,18,0,0.001200056,,0.072573566,,0.006620693,10.0,0.008287549,10.0,0.001653361,,0.010170364,11.0,0.0169843435287475,27,140,0.3403815031051636,6.0,2750
888,4,4,2,4,0.005860472,10.0,38,0.077613115,10.0,38,0.006307673,10.0,43,0.008980823,11,43,0.003301668,17,0,0.002111411,,0.090225697,,0.005719638,,0.008145499,10.0,0.0093153,10.0,0.009184194,10.0,0.0176469087600708,31,136,1.5384275913238523,,10000
889,4,4,2,4,0.004065847,7.0,28,0.047586441,7.0,28,0.011435008,7.0,74,0.013758779,7,68,0.00255816,15,0,0.001506734,,0.091324687,,0.005627108,,0.009019995,13.0,0.0037323,,0.007968044,12.0,0.022511601448059,49,220,2.2342119216918945,,10000
